full_name,rating,Pos,Experience,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary,z_score_twitter RETWEET_count,z_score_follower_count_millon,z_score_twitter_followers_count
Paul Millsap,82,PF,6,36,TOT,33,1,11.4,1.4,3.5,0.391,0.2,1.1,0.229,1.1,2.4,0.463,0.426,0.5,0.7,0.708,1.2,2.2,3.5,0.9,0.3,0.4,0.6,2,3.5,30350000,-0.382857451,-0.81125774,0.065838014
Rajon Rondo,76,PG,17,35,TOT,39,1,17.9,1.7,4.5,0.386,0.8,2.3,0.352,0.9,2.3,0.42,0.474,0.5,0.7,0.731,0.4,2.4,2.8,4.4,0.8,0.2,1.7,1.4,4.8,2564753,-0.241284169,-2.63759E-06,0.203549193
Raul Neto,72,PG,10,29,WAS,70,19,19.6,2.9,6.3,0.463,0.5,1.7,0.292,2.4,4.6,0.526,0.502,1.2,1.5,0.769,0.2,1.7,1.9,3.1,0.8,0,1.1,1.5,7.5,1737145,5.24081E-07,-2.63759E-06,0.639861003
Reggie Bullock,74,SF,10,30,DAL,68,37,28,3,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,4000000,-0.446902508,-2.63759E-06,0.021946005
Reggie Jackson,80,SG,12,31,LAC,75,75,31.2,6.4,16.3,0.392,2.2,6.8,0.326,4.2,9.5,0.439,0.46,1.8,2.2,0.847,0.5,3.1,3.6,4.8,0.7,0.2,2.3,2.1,16.8,17799677,-0.458700281,-2.63759E-06,0.040600109
Richaun Holmes,75,C,8,28,SAC,45,37,23.9,4.4,6.7,0.66,0,0.1,0.4,4.4,6.6,0.664,0.663,1.6,2,0.778,2.1,5,7,1.1,0.4,0.9,1.2,2.8,10.4,4767000,-0.47723964,-0.834065607,0.027432506
Ricky Rubio,78,PG,14,31,CLE,34,8,28.5,4.4,12.1,0.363,1.7,5.1,0.339,2.6,7,0.38,0.434,2.6,3,0.854,0.4,3.7,4.1,6.6,1.4,0.2,2.6,2.2,13.1,16200000,-0.234542584,0.086542851,0.288041311
RJ Barrett,78,SF,4,21,NYK,70,70,34.5,7,17.1,0.408,2,5.8,0.342,5,11.3,0.442,0.466,4.1,5.8,0.714,0.9,4.9,5.8,3,0.6,0.2,2.2,2,20,7839960,5.24081E-07,-2.63759E-06,0.639861003
Robert Covington,80,PF-SF,10,31,TOT,71,42,27.3,2.9,7,0.42,1.8,4.8,0.378,1.1,2.2,0.509,0.548,0.8,1,0.841,0.8,4.7,5.5,1.3,1.5,1.3,1.1,2.7,8.5,11301219,-0.440160923,-2.63759E-06,0.041697409
Robert Williams,74,C,5,24,BOS,61,61,29.6,4.4,6,0.736,0,0,0,4.4,6,0.738,0.736,1.1,1.5,0.722,3.9,5.7,9.6,2,0.9,2.2,1,2.2,10,1937520,5.24081E-07,-2.63759E-06,0.639861003
Robin Lopez,75,C,15,33,ORL,36,9,17,3.1,5.5,0.553,0.1,0.2,0.333,3,5.4,0.56,0.558,0.9,1.5,0.593,1.9,1.6,3.5,1.5,0.1,0.5,1.2,1.9,7.1,4767000,5.24081E-07,-2.63759E-06,0.639861003
Rodney Hood,76,SF-SG,9,29,TOT,52,0,13.6,1.1,3,0.369,0.6,1.8,0.33,0.5,1.3,0.424,0.465,0.3,0.4,0.895,0.3,1.2,1.5,0.7,0.3,0.1,0.2,0.6,3.1,5718000,5.24081E-07,-2.63759E-06,0.639861003
Rodney McGruder,72,SG,10,30,DET,51,2,14.8,1.9,4.4,0.436,1.1,2.9,0.397,0.8,1.5,0.506,0.564,0.4,0.5,0.731,0.6,1.6,2.2,0.9,0.4,0.1,0.5,1.1,5.4,4807693,5.24081E-07,-2.63759E-06,0.639861003
Romeo Langford,72,SG,4,22,TOT,48,5,16.1,1.7,4,0.435,0.6,1.8,0.341,1.1,2.2,0.509,0.51,0.5,0.9,0.548,0.6,1.6,2.3,0.4,0.5,0.3,0.3,1,4.5,3458400,5.24081E-07,-2.63759E-06,0.639861003
Royce O'Neale,73,SF,8,28,UTA,77,77,31.2,2.6,5.8,0.457,1.5,4,0.389,1.1,1.8,0.609,0.591,0.6,0.7,0.804,0.8,3.9,4.8,2.5,1.1,0.4,1,2.4,7.4,1618520,5.24081E-07,-2.63759E-06,0.639861003
Rudy Gay,81,PF,17,35,UTA,55,1,18.9,2.9,6.9,0.414,1.3,3.7,0.345,1.6,3.2,0.494,0.507,1.1,1.4,0.785,1,3.4,4.4,1,0.5,0.3,0.9,1.7,8.1,14500000,5.24081E-07,-0.838212492,0.639861003
Rudy Gobert,88,C,10,29,UTA,66,66,32.1,5.5,7.7,0.713,0,0.1,0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11,14.7,1.1,0.7,2.1,1.8,2.7,15.6,25258427,0.269390885,-0.757348236,0.802126469
Rui Hachimura,74,PF,4,23,WAS,42,13,22.5,4.5,9.1,0.491,1.3,2.9,0.447,3.1,6.1,0.512,0.563,1.1,1.6,0.697,0.6,3.2,3.8,1.1,0.5,0.2,0.8,1.3,11.3,4469160,5.24081E-07,-2.63759E-06,0.639861003
Russell Westbrook,90,PG,15,33,LAL,78,78,34.3,7,15.8,0.444,1,3.4,0.298,6,12.4,0.485,0.476,3.4,5.1,0.667,1.4,6,7.4,7.1,1,0.3,3.8,3,18.5,38506482,1.393550161,1.027885735,2.337798142
Ryan Arcidiacono,72,PG,7,27,NYK,10,0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0,0,0,0,0.8,0.8,0.4,0.1,0,0.3,0.5,1.6,3000000,5.24081E-07,-2.63759E-06,0.639861003
Sekou Doumbouya,73,PF,4,21,LAL,2,0,8,2.5,4,0.625,0.5,1,0.5,2,3,0.667,0.688,1.5,2,0.75,1,2,3,0,1.5,1,1,0.5,7,3285120,5.24081E-07,-2.63759E-06,0.639861003
Semi Ojeleye,73,PF,6,27,TOT,30,0,13.5,1,3.3,0.303,0.5,1.7,0.3,0.5,1.6,0.306,0.379,0.8,1,0.793,0.9,1.6,2.5,0.3,0.2,0.2,0.3,1,3.3,1618520,5.24081E-07,-2.63759E-06,0.639861003
Serge Ibaka,81,C-PF,15,32,TOT,54,12,16.2,2.7,5.5,0.5,0.7,1.8,0.374,2.1,3.6,0.563,0.563,0.6,0.8,0.727,1.1,3.5,4.6,0.9,0.2,0.6,0.8,1.9,6.8,23271604,5.24081E-07,-2.63759E-06,0.639861003
Seth Curry,74,SG,10,31,TOT,64,64,33.4,5.6,11.5,0.487,2.5,5.8,0.422,3.2,5.7,0.553,0.594,1.3,1.5,0.872,0.3,2.8,3.1,3.6,0.8,0.2,1.7,2.3,15,7461380,-0.372745074,-2.63759E-06,0.033467657
Shai Gilgeous-Alexander,79,PG,5,23,OKC,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,24.5,3952920,5.24081E-07,-2.63759E-06,0.639861003
Shake Milton,71,PG,5,25,PHI,55,6,21.4,3.1,7.3,0.429,0.8,2.4,0.323,2.4,4.9,0.481,0.483,1.1,1.3,0.836,0.5,2,2.6,2.5,0.5,0.3,0.8,1.8,8.2,1445697,5.24081E-07,-2.63759E-06,0.639861003
Shaquille Harrison,73,SG,7,28,BRK,2,0,11.5,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,0,0.5,1.5,2,1.5,0.5,0.5,1,1.5,2,1620564,5.24081E-07,-2.63759E-06,0.639861003
Solomon Hill,70,PF,10,30,ATL,13,1,10.7,0.2,1.5,0.15,0.2,1,0.154,0.1,0.5,0.143,0.2,0,0,0,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6,13290395,5.24081E-07,-2.63759E-06,0.639861003
Spencer Dinwiddie,82,PG,9,28,TOT,67,51,29.6,4.6,11,0.416,1.7,4.9,0.339,2.9,6,0.479,0.493,2.9,3.8,0.774,0.7,3.5,4.2,5.2,0.7,0.2,1.6,2.2,13.7,10605600,-0.467127262,-2.63759E-06,0
Stanley Johnson,73,PF,8,25,LAL,48,27,22.8,2.4,5.2,0.466,0.7,2.2,0.314,1.8,3,0.575,0.532,1.1,1.5,0.716,0.7,2.5,3.2,1.7,0.9,0.3,0.7,2.3,6.7,3623000,-0.426677753,-2.63759E-06,0
Stephen Curry,95,PG,14,33,GSW,64,64,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2,25.5,40231758,9.260979703,3.126209519,13.47265224
Sterling Brown,73,SG,6,26,DAL,49,3,12.8,1.2,3.2,0.381,0.6,1.9,0.304,0.6,1.3,0.492,0.471,0.3,0.3,0.933,0.5,2.5,3,0.7,0.3,0.1,0.5,1.1,3.3,1618520,5.24081E-07,-2.63759E-06,0.639861003
Steven Adams,82,C,10,28,MEM,76,75,26.3,2.8,5.1,0.547,0,0,0,2.8,5,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10,3.4,0.9,0.8,1.5,2,6.9,25842697,-0.157014358,-2.63759E-06,0.039502808
Taj Gibson,77,C,14,36,NYK,52,4,18.2,1.7,3.2,0.518,0.3,0.7,0.395,1.4,2.5,0.555,0.563,0.8,1,0.808,1.7,2.7,4.4,0.6,0.4,0.8,0.5,2.6,4.4,9000000,-0.433419338,-2.63759E-06,0.057059612
Talen Horton-Tucker,70,SG,4,21,LAL,60,19,25.2,3.7,9,0.416,0.8,3,0.269,2.9,5.9,0.492,0.462,1.7,2.1,0.8,0.6,2.6,3.2,2.7,1,0.5,1.4,2.5,10,898310,5.24081E-07,-2.63759E-06,0.639861003
Taurean Prince,77,PF,7,27,MIN,69,8,17.1,2.6,5.7,0.454,1.2,3.3,0.376,1.3,2.3,0.565,0.564,0.9,1.2,0.756,0.4,2.1,2.5,1,0.7,0.3,0.8,1.7,7.3,3481985,5.24081E-07,-2.63759E-06,0.639861003
Terance Mann,69,SF,4,25,LAC,81,33,28.6,4.1,8.5,0.484,0.9,2.6,0.365,3.2,6,0.535,0.539,1.6,2,0.78,1.3,4,5.2,2.6,0.7,0.3,1,2.2,10.8,1000000,5.24081E-07,-2.63759E-06,0.639861003
Terrence Ross,79,SG,11,30,ORL,63,0,23,3.5,8.8,0.397,1.2,4.2,0.292,2.3,4.6,0.493,0.467,1.8,2.1,0.862,0.3,2.2,2.6,1.8,0.4,0.2,1.2,1.1,10,12500000,-0.490722809,-2.63759E-06,0
