full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/1996,6-5 / 1.96,215 lbs. / 97.5 kg.,"$1,000,000 ",USA,2019,2,48,Florida State,NBA2k20,#N/A,#N/A
Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/1995,6-7 / 2.01,225 lbs. / 102.1 kg.,"$79,568 ",USA,2018,Undrafted,Undrafted,Tulane,NBA2k20,#N/A,#N/A
Tyrone Wallace,69,#0,Free agent,G-F,6/10/1994,6-5 / 1.96,200 lbs. / 90.7 kg.,"$502,491 ",USA,2016,2,60,California,NBA2k20,#N/A,#N/A
Miye Oni,69,#24,Utah Jazz,F,8/4/1997,6-5 / 1.96,210 lbs. / 95.3 kg.,"$898,310 ",USA,2019,2,58,Yale,NBA2k20,#N/A,#N/A
Malcolm Miller,69,#13,Toronto Raptors,F,3/6/1993,6-7 / 2.01,205 lbs. / 93 kg.,"$1,588,231 ",USA,2015,Undrafted,Undrafted,Holy Cross,NBA2k20,#N/A,#N/A
Isaac Bonga,68,#17,Washington Wizards,G,11/8/1999,6-8 / 2.03,200 lbs. / 90.7 kg.,"$1,416,852 ",Germany,2018,2,39,,NBA2k20,#N/A,#N/A
Isaiah Hartenstein,68,#0,Free agent,F-C,5/5/1998,7-0 / 2.13,250 lbs. / 113.4 kg.,"$1,416,852 ",Germany,2017,2,43,,NBA2k20,#N/A,#N/A
Jordan McRae,68,#0,Detroit Pistons,G,3/28/1991,6-5 / 1.96,179 lbs. / 81.2 kg.,"$1,254,933 ",USA,2014,2,58,Tennessee,NBA2k20,25.5,7.5
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/1995,6-0 / 1.83,180 lbs. / 81.6 kg.,"$522,738 ",USA,2018,Undrafted,Undrafted,Florida Gulf Coast,NBA2k20,#N/A,#N/A
Michael Frazier,68,#21,Houston Rockets,G,3/8/1994,6-3 / 1.91,200 lbs. / 90.7 kg.,"$79,568 ",USA,2015,2,60,Florida,NBA2k20,#N/A,#N/A
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/1997,6-10 / 2.08,200 lbs. / 90.7 kg.,"$79,568 ",Greece,2018,Undrafted,Undrafted,Dayton,NBA2k20,#N/A,#N/A
Jalen Lecque,68,#0,Phoenix Suns,G,6/13/2000,6-3 / 1.91,190 lbs. / 86.2 kg.,"$898,310 ",USA,2019,Undrafted,Undrafted,,NBA2k20,#N/A,#N/A
Duncan Robinson,67,#55,Miami Heat,F,4/22/1994,6-7 / 2.01,215 lbs. / 97.5 kg.,"$1,416,852 ",USA,2018,Undrafted,Undrafted,Michigan,NBA2k20,#N/A,#N/A
LeBron James,97,#6,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,"$39,219,566 ",USA,2003,1,1,,NBA2k21,5533.5,1501.5
Giannis Antetokounmpo,97,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,"$27,528,088 ",Greece,2013,1,15,,NBA2k21,#N/A,#N/A
Kawhi Leonard,96,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,"$34,379,100 ",USA,2011,1,15,San Diego State,NBA2k21,2701.5,716.5
James Harden,96,#13,Brooklyn Nets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,"$41,254,920 ",USA,2009,1,3,Arizona State,NBA2k21,969,321.5
Stephen Curry,95,#30,Golden State Warriors,G,3/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,"$43,006,362 ",USA,2009,1,7,Davidson,NBA2k21,12278,2893
Kevin Durant,95,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,"$42,018,900 ",USA,2007,1,2,Texas,NBA2k21,1425.5,366
Anthony Davis,95,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,"$32,742,000 ",USA,2012,1,1,Kentucky,NBA2k21,368,104
Luka Doncic,94,#77,Dallas Mavericks,G-F,2/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,"$8,049,360 ",Slovenia,2018,1,3,,NBA2k21,#N/A,#N/A
Damian Lillard,94,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,"$31,626,953 ",USA,2012,1,6,Weber State,NBA2k21,186.5,43
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,"$29,542,010 ",Cameroon,2014,1,3,Kansas,NBA2k21,6852.5,2941
Stephen Curry,96,#30,Golden State Warriors,G,3/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,"$45,780,966 ",USA,2009,1,7,Davidson,NBA2k22,12278,2893
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,"$40,918,900 ",USA,2007,1,2,Texas,NBA2k22,1425.5,366
LeBron James,96,#6,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,"$41,180,544 ",USA,2003,1,1,,NBA2k22,5533.5,1501.5
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,"$39,344,900 ",Greece,2013,1,15,,NBA2k22,#N/A,#N/A
Nikola Jokic,95,#15,Denver Nuggets,C,2/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,"$31,044,906 ",Serbia,2014,2,41,,NBA2k22,0,1
Joel Embiid,95,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,"$31,579,390 ",Cameroon,2014,1,3,Kansas,NBA2k22,6852.5,2941
Kawhi Leonard,95,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,"$39,344,900 ",USA,2011,1,15,San Diego State,NBA2k22,2701.5,716.5
Luka Doncic,94,#77,Dallas Mavericks,G-F,2/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,"$10,174,391 ",Slovenia,2018,1,3,,NBA2k22,#N/A,#N/A
Damian Lillard,94,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,"$39,344,900 ",USA,2012,1,6,Weber State,NBA2k22,186.5,43
James Harden,94,#13,Brooklyn Nets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,"$44,310,840 ",USA,2009,1,3,Arizona State,NBA2k22,969,321.5
Paul George,90,#13,Los Angeles Clippers,F,5/2/1990,6-8 / 2.03,210 lbs. / 95.3 kg.,"$35,450,412 ",USA,2010,1,10,Fresno State,NBA2k21,228.5,128
Nikola Jokic,90,#15,Denver Nuggets,C,2/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,"$29,542,010 ",Serbia,2014,2,41,,NBA2k21,0,1
