Date,Team,Acquired,Relinquished,Notes,salaries
10/3/2010,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),#REF!
10/6/2010,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely),#REF!
10/6/2010,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely),#REF!
10/8/2010,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely),#REF!
10/8/2010,Nets,,Troy Murphy,strained lower back (out indefinitely),#REF!
10/8/2010,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon,#REF!
10/8/2010,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal,#REF!
10/9/2010,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely),#REF!
10/12/2010,Bucks,,Darington Hobson,surgery on left hip (out for season),#REF!
10/12/2010,Kings,,Samuel Dalembert,strained left groin (out indefinitely),#REF!
10/17/2010,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely),#REF!
10/18/2010,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),#REF!
10/19/2010,Suns,,Josh Childress,fractured right index finger (out indefinitely),#REF!
10/22/2010,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),#REF!
10/25/2010,Thunder,,Nick Collison,left knee injury (out indefinitely),#REF!
10/25/2010,Timberwolves,,Martell Webster,surgery on back (out indefinitely),#REF!
10/26/2010,Blazers,,Elliot Williams,placed on IL,#REF!
10/26/2010,Blazers,,Greg Oden,placed on IL with left knee injury (out for season),#REF!
10/26/2010,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon,#REF!
10/26/2010,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle,#REF!
10/26/2010,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL,#REF!
10/26/2010,Celtics,,Luke Harangody,placed on IL,#REF!
10/26/2010,Heat,,Dexter Pittman,placed on IL,#REF!
10/26/2010,Heat,,Jerry Stackhouse,placed on IL,#REF!
10/26/2010,Heat,,Mario Chalmers,sprained ankle (out indefinitely),#REF!
10/26/2010,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage,#REF!
10/26/2010,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments,#REF!
10/26/2010,Lakers,,Luke Walton,placed on IL with strained right hamstring,#REF!
10/26/2010,Rockets,,Jermaine Taylor,placed on IL,#REF!
10/26/2010,Rockets,,Kyle Lowry,placed on IL with back spasms,#REF!
10/26/2010,Rockets,,Patrick Patterson,placed on IL,#REF!
10/26/2010,Suns,,Gani Lawal,placed on IL,#REF!
10/26/2010,Suns,,Matt Janning,placed on IL,#REF!
10/27/2010,76ers,,Craig Brackins,placed on IL,#REF!
10/27/2010,76ers,,Jodie Meeks,placed on IL,#REF!
10/27/2010,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin,#REF!
10/27/2010,Bobcats,,Eduardo Najera,placed on IL with sports hernia,#REF!
10/27/2010,Bobcats,,Kwame Brown,placed on IL with sprained left ankle,#REF!
10/27/2010,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury,#REF!
10/27/2010,Bucks,,Jon Brockman,sprained left ankle (DNP),#REF!
10/27/2010,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP),#REF!
10/27/2010,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL,#REF!
10/27/2010,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger,#REF!
10/27/2010,Cavaliers,,Christian Eyenga,placed on IL,#REF!
10/27/2010,Cavaliers,,Mo Williams,placed on IL with groin injury,#REF!
10/27/2010,Cavaliers,,Samardo Samuels,placed on IL,#REF!
10/27/2010,Clippers,,Craig Smith,placed on IL with back injury,#REF!
10/27/2010,Clippers,,Willie Warren,placed on IL,#REF!
10/27/2010,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur,#REF!
10/27/2010,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle,#REF!
10/27/2010,Hawks,,Etan Thomas,placed on IL,#REF!
10/27/2010,Hawks,,Pape Sy,placed on IL with strained lower back,#REF!
10/27/2010,Heat,,Jamaal Magloire,placed on IL,#REF!
10/27/2010,Heat,Jerry Stackhouse,,activated from IL,#REF!
10/27/2010,Hornets,,Aaron Gray,placed on IL,#REF!
10/27/2010,Hornets,,Joe Alexander,placed on IL,#REF!
10/27/2010,Hornets,,Quincy Pondexter,placed on IL,#REF!
10/27/2010,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon,#REF!
10/27/2010,Kings,,Antoine Wright,placed on IL,#REF!
10/27/2010,Kings,,Samuel Dalembert,placed on IL with strained left abductor,#REF!
10/27/2010,Knicks,,Anthony Randolph,placed on IL with sprained left ankle,#REF!
10/27/2010,Knicks,,Eddy Curry,placed on IL with strained right hamstring,#REF!
10/27/2010,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee,#REF!
10/27/2010,Mavericks,,Alex Ajinca,placed on IL,#REF!
10/27/2010,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot,#REF!
10/27/2010,Mavericks,,Steve Novak,placed on IL,#REF!
10/27/2010,Nets,,Ben Uzoh,placed on IL,#REF!
10/27/2010,Nets,,Quinton Ross,placed on IL,#REF!
10/27/2010,Nets,,Troy Murphy,placed on IL with strained lower back,#REF!
10/27/2010,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon,#REF!
10/27/2010,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee,#REF!
10/27/2010,Pacers,,A.J. Price,placed on IL,#REF!
10/27/2010,Pacers,,Dahntay Jones,placed on IL,#REF!
10/27/2010,Pacers,,Lance Stephenson,placed on IL,#REF!
10/27/2010,Pistons,,Chris Wilcox,placed on IL with sore left hamstring,#REF!
10/27/2010,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season),#REF!
10/27/2010,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season),#REF!
10/27/2010,Raptors,,Ed Davis ,placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus,#REF!
10/27/2010,Raptors,,Marcus Banks,placed on IL,#REF!
10/27/2010,Raptors,,Solomon Alabi,placed on IL,#REF!
10/27/2010,Rockets,,Yao Ming,placed on IL,#REF!
10/27/2010,Rockets,Jermaine Taylor,,activated from IL,#REF!
10/27/2010,Spurs,,Alonzo Gee,placed on IL,#REF!
10/27/2010,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC),#REF!
10/27/2010,Thunder,,B.J. Mullens,placed on IL,#REF!
10/27/2010,Thunder,,Morris Peterson,placed on IL,#REF!
10/27/2010,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg,#REF!
10/27/2010,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip,#REF!
10/27/2010,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back,#REF!
10/27/2010,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps,#REF!
10/27/2010,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist,#REF!
10/27/2010,Warriors,,Jeremy Lin,placed on IL,#REF!
10/27/2010,Warriors,,Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger,#REF!
10/28/2010,Grizzlies,,Zach Randolph,back injury (DTD),#REF!
10/28/2010,Hawks,,Maurice Evans,right knee inflammation (DTD),#REF!
10/28/2010,Magic,,Daniel Orton,placed on IL,#REF!
10/28/2010,Magic,,Malik Allen,placed on IL,#REF!
10/28/2010,Spurs,,Matt Bonner,sprained right ankle (DTD),#REF!
10/28/2010,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle,#REF!
10/28/2010,Wizards,,Josh Howard,placed on IL with torn ACL in left knee,#REF!
10/28/2010,Wizards,,Kevin Seraphin,placed on IL,#REF!
10/29/2010,Cavaliers,Samardo Samuels,,activated from IL,#REF!
10/29/2010,Celtics,,Jermaine O'Neal,placed on IL with left knee injury,#REF!
10/29/2010,Celtics,Luke Harangody,,activated from IL,#REF!
10/29/2010,Grizzlies,,Zach Randolph,placed on IL with bruised tailbone,#REF!
10/29/2010,Grizzlies,Marc Gasol,,activated from IL,#REF!
10/29/2010,Hawks,,Maurice Evans,placed on IL with right knee inflammation,#REF!
10/29/2010,Hawks,Etan Thomas,,activated from IL,#REF!
10/29/2010,Heat,,Juwan Howard,placed on IL,#REF!
10/29/2010,Heat,Jamaal Magloire,,activated from IL,#REF!
10/29/2010,Heat,Mario Chalmers,,returned to lineup,#REF!
10/29/2010,Kings,,Pooh Jeter,placed on IL,#REF!
10/29/2010,Kings,,Hassan Whiteside,placed on IL,#REF!
10/29/2010,Kings,Antoine Wright,,activated from IL,#REF!
10/29/2010,Kings,Samuel Dalembert,,activated from IL,#REF!
10/29/2010,Pistons,,Will Bynum,sore right hamstring (DNP),#REF!
10/29/2010,Raptors,,Joey Dorsey,placed on IL,#REF!
10/29/2010,Raptors,Marcus Banks,,activated from IL,#REF!
10/29/2010,Warriors,,Jeff Adrien,placed on IL,#REF!
10/29/2010,Warriors,Jeremy Lin,,activated from IL,#REF!
10/30/2010,Cavaliers,,Samardo Samuels,placed on IL,#REF!
10/30/2010,Grizzlies,,Xavier Henry,placed on IL,#REF!
10/30/2010,Grizzlies,Greivis Vasquez,,activated from IL,#REF!
10/30/2010,Pacers,,Jeff Foster,placed on IL,#REF!
10/30/2010,Pacers,Dahntay Jones,,activated from IL,#REF!
10/30/2010,Pistons,,Will Bynum,sore right hamstring (DNP),#REF!
10/30/2010,Rockets,,Ish Smith,placed on IL,#REF!
10/30/2010,Rockets,Kyle Lowry,,activated from IL,#REF!
10/30/2010,Rockets,Yao Ming,,activated from IL,#REF!
10/30/2010,Spurs,,Matt Bonner,placed on IL with sprained right ankle,#REF!
10/30/2010,Spurs,Alonzo Gee,,activated from IL,#REF!
10/30/2010,Wizards,Kevin Seraphin,,activated from IL,#REF!
10/31/2010,Clippers,,Randy Foye,placed on IL with strained left hamstring,#REF!
10/31/2010,Clippers,Craig Smith,,activated from IL,#REF!
10/31/2010,Warriors,,Stephen Curry,placed on IL with sprained right ankle,#REF!
10/31/2010,Warriors,Jeff Adrien,,activated from IL,#REF!
11/1/2010,Clippers,,Baron Davis,placed on IL with sore left knee,#REF!
11/1/2010,Clippers,Willie Warren,,activated from IL,#REF!
11/1/2010,Raptors,,Marcus Banks,placed on IL,#REF!
11/1/2010,Raptors,Joey Dorsey,,activated from IL,#REF!
11/1/2010,Spurs,,Alonzo Gee,placed on IL,#REF!
11/1/2010,Spurs,Tiago Splitter,,activated from IL,#REF!
11/2/2010,Blazers,,Patty Mills,placed on IL,#REF!
11/2/2010,Blazers,Elliot Williams,,activated from IL,#REF!
11/2/2010,Cavaliers,,Antawn Jamison,placed on IL with sore left knee,#REF!
11/2/2010,Cavaliers,Mo Williams,,activated from IL,#REF!
11/2/2010,Celtics,,Shaquille O'Neal,placed on IL with bruised right knee,#REF!
11/2/2010,Celtics,Jermaine O'Neal,,activated from IL,#REF!
11/2/2010,Grizzlies,,Greivis Vasquez,placed on IL,#REF!
11/2/2010,Grizzlies,Xavier Henry,,activated from IL,#REF!
11/2/2010,Heat,,Jamaal Magloire,placed on IL,#REF!
11/2/2010,Heat,Juwan Howard,,activated from IL,#REF!
11/2/2010,Pistons,,Richard Hamilton,sore right foot (DNP),#REF!
11/2/2010,Pistons,,Will Bynum,sore right hamstring (DNP),#REF!
11/3/2010,Grizzlies,,DeMarre Carroll,placed on IL,#REF!
11/3/2010,Grizzlies,Greivis Vasquez,,activated from IL,#REF!
11/3/2010,Hawks,,Jamal Crawford,turf toe (DNP),#REF!
11/3/2010,Hornets,,Peja Stojakovic,placed on IL,#REF!
11/3/2010,Hornets,Quincy Pondexter,,activated from IL,#REF!
11/3/2010,Jazz,,Jeremy Evans,sprained right wrist (DNP),#REF!
11/3/2010,Jazz,,Kyrylo Fesenko,stomach illness (DNP),#REF!
11/3/2010,Nets,,Joe Smith ,placed on IL,#REF!
11/3/2010,Nets,,Stephen Graham,placed on IL,#REF!
11/3/2010,Nets,Quinton Ross,,activated from IL,#REF!
11/3/2010,Nets,Troy Murphy,,activated from IL,#REF!
11/3/2010,Nuggets,,Nene Hilario ,strained left groin (DNP),#REF!
11/3/2010,Pistons,,Richard Hamilton,sore right foot (DNP),#REF!
11/3/2010,Pistons,,Will Bynum,sore right hamstring (DNP),#REF!
11/3/2010,Rockets,,Jermaine Taylor,placed on IL,#REF!
11/3/2010,Rockets,Kyle Lowry,,activated from IL,#REF!
11/3/2010,Spurs,,George Hill,placed on IL with neck injury,#REF!
11/3/2010,Spurs,Alonzo Gee,,activated from IL,#REF!
11/3/2010,Timberwolves,,Michael Beasley,placed on IL with bruised left hip,#REF!
11/3/2010,Timberwolves,Maurice Ager,,activated from IL,#REF!
11/3/2010,Warriors,,Brandan Wright,stomach virus (DTD),#REF!
11/4/2010,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",#REF!
11/4/2010,Blazers,Patty Mills,,activated from IL,#REF!
11/4/2010,Knicks,,Shawne Williams,placed on IL,#REF!
11/4/2010,Knicks,Anthony Randolph,,activated from IL,#REF!
11/5/2010,Bucks,,Andrew Bogut,migraine headache (DNP),#REF!
11/5/2010,Grizzlies,,Hamed Haddadi,placed on IL,#REF!
11/5/2010,Grizzlies,Zach Randolph,,activated from IL,#REF!
11/5/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP),#REF!
11/5/2010,Jazz,,Jeremy Evans,sprained right ankle (DNP),#REF!
11/5/2010,Lakers,,Devin Ebanks,placed on IL,#REF!
11/5/2010,Lakers,Luke Walton,,activated from IL,#REF!
11/5/2010,Nuggets,,Nene Hilario ,strained left groin (DNP),#REF!
11/5/2010,Timberwolves,,Maurice Ager,placed on IL,#REF!
11/5/2010,Timberwolves,Michael Beasley,,activated from IL,#REF!
11/5/2010,Warriors,,Jeremy Lin,placed on IL,#REF!
11/5/2010,Warriors,Stephen Curry,,activated from IL,#REF!
11/5/2010,Wizards,Gilbert Arenas,,activated from IL,#REF!
11/6/2010,Blazers,,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)",#REF!
11/6/2010,Blazers,,Rudy Fernandez,back injury (DNP),#REF!
11/6/2010,Heat,,Juwan Howard,placed on IL,#REF!
11/6/2010,Heat,Jamaal Magloire,,activated from IL,#REF!
11/6/2010,Kings,Pooh Jeter,,activated from IL,#REF!
11/6/2010,Kings,Hassan Whiteside,,activated from IL,#REF!
11/6/2010,Magic,,Jameer Nelson,placed on IL with sprained left ankle,#REF!
11/6/2010,Magic,Malik Allen,,activated from IL,#REF!
11/6/2010,Nuggets,,Nene Hilario ,strained left groin (DNP),#REF!
11/6/2010,Raptors,,Sonny Weems,ankle injury (DTD),#REF!
11/6/2010,Raptors,,Sonny Weems,placed on IL with ankle injury,#REF!
11/6/2010,Raptors,Marcus Banks,,activated from IL,#REF!
11/6/2010,Rockets,,Kyle Lowry,placed on IL with sore back,#REF!
11/6/2010,Rockets,,Yao Ming,placed on IL with foot injury / rest,#REF!
11/6/2010,Rockets,Ish Smith,,activated from IL,#REF!
11/6/2010,Rockets,Jermaine Taylor,,activated from IL,#REF!
11/6/2010,Spurs,George Hill,,activated from IL,#REF!
11/7/2010,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury,#REF!
11/7/2010,76ers,Jodie Meeks,,activated from IL,#REF!
11/7/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP),#REF!
11/7/2010,Rockets,,Aaron Brooks,placed on IL with sprained left ankle,#REF!
11/7/2010,Rockets,Yao Ming,,activated from IL,#REF!
11/7/2010,Thunder,,Jeff Green,placed on IL with sprained left ankle,#REF!
11/7/2010,Thunder,Morris Peterson,,activated from IL,#REF!
11/7/2010,Timberwolves,,Lazar Hayward,placed on IL,#REF!
11/7/2010,Timberwolves,Michael Beasley,,activated from IL (P),#REF!
11/7/2010,Warriors,,Jeff Adrien,placed on IL,#REF!
11/7/2010,Warriors,Jeremy Lin,,activated from IL,#REF!
11/8/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP),#REF!
11/8/2010,Magic,,Mickael Pietrus,DNP,#REF!
11/8/2010,Raptors,,Joey Dorsey,placed on IL,#REF!
11/8/2010,Raptors,Sonny Weems,,activated from IL,#REF!
11/8/2010,Spurs,,Garrett Temple,placed on IL,#REF!
11/9/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/9/2010,Cavaliers,,Manny Harris,placed on IL,#REF!
11/9/2010,Cavaliers,Antawn Jamison,,activated from IL,#REF!
11/9/2010,Clippers,,Eric Gordon,placed on IL with left shoulder injury,#REF!
11/9/2010,Clippers,Baron Davis,,activated from IL,#REF!
11/9/2010,Lakers,,Derrick Caracter,placed on IL,#REF!
11/9/2010,Lakers,Devin Ebanks,,activated from IL,#REF!
11/9/2010,Nets,,Terrence Williams,placed on IL with lower abdominal strain,#REF!
11/9/2010,Nets,Stephen Graham,,activated from IL,#REF!
11/9/2010,Timberwolves,,Luke Ridnour,placed on IL with strained hamstring,#REF!
11/9/2010,Timberwolves,Lazar Hayward,,activated from IL,#REF!
11/10/2010,76ers,Craig Brackins,,activated from IL,#REF!
11/10/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/10/2010,Clippers,,Baron Davis,placed on IL with sore left knee,#REF!
11/10/2010,Clippers,,Chris Kaman,sprained left ankle (DNP),#REF!
11/10/2010,Hawks,,Marvin Williams,bone bruise in right knee (DNP),#REF!
11/10/2010,Kings,,Pooh Jeter,placed on IL,#REF!
11/10/2010,Kings,,Hassan Whiteside,placed on IL,#REF!
11/10/2010,Knicks,,Ronny Turiaf,placed on IL with sprained left knee,#REF!
11/10/2010,Knicks,Shawne Williams,,activated from IL,#REF!
11/10/2010,Magic,,Malik Allen,placed on IL,#REF!
11/10/2010,Magic,Jameer Nelson,,activated from IL,#REF!
11/10/2010,Mavericks,,Caron Butler,placed on IL with back spasms,#REF!
11/10/2010,Mavericks,Steve Novak,,activated from IL,#REF!
11/10/2010,Nets,,Stephen Graham,placed on IL,#REF!
11/10/2010,Nets,,Troy Murphy,placed on IL with sore right foot,#REF!
11/10/2010,Nets,Ben Uzoh,,activated from IL,#REF!
11/10/2010,Nets,Joe Smith ,,activated from IL,#REF!
11/10/2010,Raptors,,David Andersen,flu (DTD),#REF!
11/10/2010,Raptors,,Leandro Barbosa,placed on IL with strained left shoulder,#REF!
11/10/2010,Raptors,Joey Dorsey,,activated from IL,#REF!
11/10/2010,Rockets,,Jermaine Taylor,placed on IL,#REF!
11/10/2010,Rockets,Kyle Lowry,,activated from IL,#REF!
11/10/2010,Timberwolves,,Wayne Ellington,thigh injury (DTD),#REF!
11/10/2010,Warriors,,Dan Gadzuric,placed on IL with back spasms,#REF!
11/10/2010,Warriors,Jeff Adrien,,activated from IL,#REF!
11/10/2010,Wizards,,Kevin Seraphin,placed on IL,#REF!
11/10/2010,Wizards,,Lester Hudson,placed on IL,#REF!
11/10/2010,Clippers,Eric Gordon,,activated from IL,#REF!
11/10/2010,Clippers,,Eric Gordon,sore left shoulder (DNP),#REF!
11/11/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP),#REF!
11/11/2010,Celtics,Shaquille O'Neal,,activated from IL,#REF!
11/11/2010,Lakers,,Theo Ratliff,placed on IL with left knee tendinitis,#REF!
11/11/2010,Lakers,Derrick Caracter,,activated from IL,#REF!
11/11/2010,Rockets,,Yao Ming,sprained left ankle (DTD),#REF!
11/11/2010,Spurs,,James Anderson,stress fracture in right foot (out indefinitely),#REF!
11/11/2010,Warriors,,David Lee,placed on IL with infection in left elbow,#REF!
11/11/2010,Warriors,Dan Gadzuric,,activated from IL,#REF!
11/12/2010,76ers,,Craig Brackins,placed on IL,#REF!
11/12/2010,76ers,,Darius Songaila,placed on IL,#REF!
11/12/2010,76ers,Andre Iguodala,,activated from IL,#REF!
11/12/2010,Clippers,,Chris Kaman,placed on IL with knee injury (P),#REF!
11/12/2010,Hawks,,Etan Thomas,placed on IL,#REF!
11/12/2010,Hawks,Maurice Evans,,activated from IL,#REF!
11/12/2010,Raptors,,David Andersen,placed on IL with flu,#REF!
11/12/2010,Raptors,,Linas Kleiza,placed on IL with right Achilles tendinitis,#REF!
11/12/2010,Raptors,Ed Davis ,,activated from IL,#REF!
11/12/2010,Raptors,Solomon Alabi,,activated from IL,#REF!
11/12/2010,Rockets,,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle),#REF!
11/12/2010,Rockets,Jermaine Taylor,,activated from IL,#REF!
11/12/2010,Thunder,B.J. Mullens,,activated from IL,#REF!
11/12/2010,Warriors,,David Lee,surgery on left elbow to repair infection,#REF!
11/12/2010,Clippers,Randy Foye,,activated from IL,#REF!
11/12/2010,Clippers,,Randy Foye,strained left hamstring (DNP),#REF!
11/13/2010,Bobcats,Eduardo Najera,,activated from IL,#REF!
11/13/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/13/2010,Cavaliers,,Anderson Varejao,placed on IL with bruised ribs,#REF!
11/13/2010,Cavaliers,,Mo Williams,placed on IL with strained left groin,#REF!
11/13/2010,Cavaliers,Manny Harris,,activated from IL,#REF!
11/13/2010,Cavaliers,Samardo Samuels,,activated from IL,#REF!
11/13/2010,Celtics,,Jermaine O'Neal,sore left knee (DNP),#REF!
11/13/2010,Heat,,Jamaal Magloire,placed on IL,#REF!
11/13/2010,Heat,Juwan Howard,,activated from IL,#REF!
11/13/2010,Hornets,,Marcus Thornton ,placed on IL,#REF!
11/13/2010,Hornets,Peja Stojakovic,,activated from IL,#REF!
11/13/2010,Nets,,Joe Smith ,placed on IL,#REF!
11/13/2010,Nets,Troy Murphy,,activated from IL,#REF!
11/13/2010,Raptors,,Ed Davis ,placed on IL,#REF!
11/13/2010,Raptors,,Reggie Evans,flu-like symptoms (DNP),#REF!
11/13/2010,Raptors,David Andersen,,activated from IL,#REF!
11/13/2010,Spurs,,James Anderson,placed on IL with stress fracture in right foot,#REF!
11/13/2010,Spurs,Matt Bonner,,activated from IL,#REF!
11/14/2010,Lakers,,Steve Blake,placed on IL with stomach ache,#REF!
11/14/2010,Lakers,Theo Ratliff,,activated from IL,#REF!
11/14/2010,Pistons,,DaJuan Summers,placed on IL,#REF!
11/14/2010,Pistons,Chris Wilcox,,activated from IL,#REF!
11/14/2010,Rockets,,Chase Budinger,sprained left ankle (DNP),#REF!
11/14/2010,Thunder,,B.J. Mullens,placed on IL,#REF!
11/14/2010,Thunder,,Daequan Cook,placed on IL,#REF!
11/14/2010,Thunder,Jeff Green,,activated from IL,#REF!
11/14/2010,Thunder,Nick Collison,,activated from IL,#REF!
11/14/2010,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP),#REF!
11/14/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP),#REF!
11/15/2010,Bobcats,,Gerald Henderson Jr.,placed on IL with sore left knee,#REF!
11/15/2010,Bobcats,Kwame Brown,,activated from IL,#REF!
11/15/2010,Clippers,,Randy Foye,strained left hamstring (DNP),#REF!
11/15/2010,Jazz,,Raja Bell,strained left abductor (DNP),#REF!
11/15/2010,Magic,,J.J. Redick,placed on IL with back spasms,#REF!
11/15/2010,Magic,Malik Allen,,activated from IL,#REF!
11/15/2010,Nets,,Damion James,placed on IL,#REF!
11/15/2010,Nets,Stephen Graham,,activated from IL,#REF!
11/15/2010,Suns,,Robin Lopez,placed on IL with sprained ligaments in left knee,#REF!
11/15/2010,Suns,Gani Lawal,,activated from IL,#REF!
11/15/2010,Thunder,,Jeff Green,placed on IL with sprained left ankle,#REF!
11/15/2010,Timberwolves,,Nikola Pekovic,left foot injury (DNP),#REF!
11/15/2010,Timberwolves,,Wayne Ellington,bruised left thigh (DNP),#REF!
11/16/2010,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury,#REF!
11/16/2010,76ers,Darius Songaila,,activated from IL,#REF!
11/16/2010,Blazers,,Brandon Roy,sore left knee (DNP),#REF!
11/16/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/16/2010,Cavaliers,,Samardo Samuels,placed on IL,#REF!
11/16/2010,Cavaliers,Anderson Varejao,,activated from IL,#REF!
11/16/2010,Knicks,,Shawne Williams,placed on IL,#REF!
11/16/2010,Knicks,Ronny Turiaf,,activated from IL,#REF!
11/16/2010,Lakers,,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,#REF!
11/16/2010,Lakers,Steve Blake,,activated from IL,#REF!
11/16/2010,Pacers,,Darren Collison,placed on IL with sprained left ankle,#REF!
11/16/2010,Pacers,,Tyler Hansbrough,placed on IL with sprained left ankle,#REF!
11/16/2010,Pacers,A.J. Price,,activated from IL,#REF!
11/16/2010,Pacers,Jeff Foster,,activated from IL,#REF!
11/16/2010,Raptors,,Solomon Alabi,placed on IL,#REF!
11/16/2010,Raptors,Linas Kleiza,,activated from IL,#REF!
11/16/2010,Wizards,,John Wall ,placed on IL with sprained left foot,#REF!
11/16/2010,Wizards,,Jianlian Yi,placed on IL with bruised right knee,#REF!
11/16/2010,Wizards,Hamady N'Diaye,,activated from IL,#REF!
11/16/2010,Wizards,Lester Hudson,,activated from IL,#REF!
11/17/2010,Celtics,,Jermaine O'Neal,placed on IL,#REF!
11/17/2010,Clippers,,Randy Foye,strained left hamstring (DNP),#REF!
11/17/2010,Jazz,,Kyrylo Fesenko,dizziness (DNP),#REF!
11/17/2010,Mavericks,,Steve Novak,placed on IL,#REF!
11/17/2010,Mavericks,Caron Butler,,activated from IL,#REF!
11/17/2010,Nets,,Ben Uzoh,placed on IL,#REF!
11/17/2010,Nets,,Troy Murphy,placed on IL with sore right foot,#REF!
11/17/2010,Nets,Joe Smith ,,activated from IL,#REF!
11/17/2010,Nets,Terrence Williams,,activated from IL,#REF!
11/17/2010,Rockets,,Chase Budinger,sprained left ankle (DNP),#REF!
11/17/2010,Thunder,,Cole Aldrich,placed on IL,#REF!
11/17/2010,Thunder,B.J. Mullens,,activated from IL,#REF!
11/17/2010,Timberwolves,,Nikola Pekovic,placed on IL with sprained left ankle,#REF!
11/17/2010,Timberwolves,Luke Ridnour,,activated from IL,#REF!
11/18/2010,Blazers,,Brandon Roy,sore left knee (DNP),#REF!
11/18/2010,Magic,,Jason Williams,foot injury (DTD),#REF!
11/18/2010,Pacers,Tyler Hansbrough,,activated from IL,#REF!
11/19/2010,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season),#REF!
11/19/2010,Bobcats,,Eduardo Najera,placed on IL,#REF!
11/19/2010,Bobcats,Kwame Brown,,activated from IL (P),#REF!
11/19/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/19/2010,Cavaliers,,Manny Harris,placed on IL,#REF!
11/19/2010,Cavaliers,Mo Williams,,activated from IL,#REF!
11/19/2010,Heat,,Juwan Howard,broken nose (DNP),#REF!
11/19/2010,Knicks,,Timofey Mozgov,left calf injury (DNP),#REF!
11/19/2010,Nets,,Terrence Williams,placed on IL,#REF!
11/19/2010,Nets,Ben Uzoh,,activated from IL,#REF!
11/19/2010,Thunder,,Kevin Durant,placed on IL with sprained left ankle,#REF!
11/19/2010,Thunder,Daequan Cook,,activated from IL,#REF!
11/19/2010,Warriors,,Brandan Wright,strained lower back (DNP),#REF!
11/20/2010,Blazers,,Brandon Roy,sore left knee (DNP),#REF!
11/20/2010,Bobcats,,Kwame Brown,placed on IL,#REF!
