Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
200,Fred VanVleet,PG,27,TOR,4,4,35,4.8,13.5,0.352,3,9,0.333,1.8,4.5,0.389,0.463,1.3,1.5,0.833,0.5,2.5,3,6.3,1.8,1,1,3,13.8,9346153.00
201,Luca Vildoza,PG,26,MIL,7,0,2.4,0.3,0.9,0.333,0.1,0.7,0.2,0.1,0.1,1,0.417,0,0,0,0.1,0.1,0.3,0.6,0.3,0,0,0.3,0.7,#N/A
202,Gabe Vincent,PG,25,MIA,18,8,23.5,2.8,7.3,0.382,1.4,4.5,0.309,1.4,2.8,0.5,0.477,1.1,1.1,0.95,0.2,1.8,1.9,3.2,0.8,0.3,1.4,2.3,8,#N/A
203,Nikola Vu?evi?,C,31,CHI,5,5,36.2,8,18.2,0.44,2.6,8.4,0.31,5.4,9.8,0.551,0.511,0.8,1,0.8,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4,28000000.00
204,Ish Wainright,PF,27,PHO,7,0,3.7,0.7,1.7,0.417,0.4,0.9,0.5,0.3,0.9,0.333,0.542,0,0,0,1,0.6,1.6,0.1,0.1,0.1,0.4,0.3,1.9,#N/A
205,Yuta Watanabe,SF,27,TOR,4,0,2.5,0.5,1.5,0.333,0,0.3,0,0.5,1.3,0.4,0.333,0,0,0,0,0,0,0,0,0,0.3,0,1,#N/A
206,Coby White,PG,21,CHI,5,0,19.6,3,9,0.333,1.6,5.8,0.276,1.4,3.2,0.438,0.422,0.8,1,0.8,0,3.4,3.4,1.8,0.2,0,1.2,1,8.4,5307120.00
207,Derrick White,SG,27,BOS,23,3,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3,2.7,0.9,0.6,1.3,2,8.5,1948080.00
208,Hassan Whiteside,C,32,UTA,6,0,10.8,0.8,2,0.417,0,0,0,0.8,2,0.417,0.417,0.2,0.7,0.25,1.3,3.8,5.2,0,0.3,1.3,0,1.5,1.8,27093018.00
209,Andrew Wiggins,SF,26,GSW,22,22,34.9,6.5,13.9,0.469,1.6,4.8,0.333,4.9,9.1,0.54,0.526,1.9,3,0.646,2.5,5,7.5,1.8,1,1,1.4,2.5,16.5,27504630.00
210,Grant Williams,PF,23,BOS,24,5,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,2379840.00
211,Patrick Williams,PF,20,CHI,5,5,30.6,4.4,9.4,0.468,1.4,4.2,0.333,3,5.2,0.577,0.543,1.6,2.2,0.727,1.2,4.2,5.4,0.8,1,0.6,1.4,3,11.8,#N/A
212,Robert Williams,C,24,BOS,17,15,23.2,3.1,4.6,0.679,0,0.1,0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1,0.7,2.2,0.6,2,7.7,1937520.00
213,Ziaire Williams,SF,20,MEM,10,1,16.8,2.3,5.2,0.442,1.1,3.6,0.306,1.2,1.6,0.75,0.548,1.2,1.3,0.923,0.4,1.2,1.6,0.5,0.5,0,0.2,1.4,6.9,#N/A
214,Delon Wright,SG,29,ATL,5,0,27.4,3,5.8,0.517,1,2.6,0.385,2,3.2,0.625,0.603,1.2,1.8,0.667,2.2,2.6,4.8,2.8,0.8,0.2,1,0.4,8.2,9473684.00
215,Thaddeus Young,PF,33,TOR,6,0,14.5,1.5,3,0.5,0.2,1.2,0.143,1.3,1.8,0.727,0.528,0.2,0.7,0.25,1.2,1.8,3,1.7,0.8,0.2,0.5,1.3,3.3,12900000.00
216,Trae Young,PG,23,ATL,5,5,37.2,4.4,13.8,0.319,1.4,7.6,0.184,3,6.2,0.484,0.37,5.2,6.6,0.788,1,4,5,6,0.6,0,6.2,2.6,15.4,6273000.00
217,Omer Yurtseven,C,23,MIA,9,0,4.2,1.3,2,0.667,0,0.2,0,1.3,1.8,0.75,0.667,0.1,0.3,0.333,0.1,0.7,0.8,0.3,0,0.1,0,0.2,2.8,#N/A
