full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS
Evan Fournier,78,#10,Orlando Magic,G,10/29/1992,6-7 / 2.01,190 lbs. / 86.2 kg.,17150000,France,2012,1,20,N/A,NBA2k20,21,10,N/A
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/1988,6-6 / 1.98,205 lbs. / 93 kg.,18606556,USA,2010,1,2,Ohio State,NBA2k20,17,13,N/A
Frank Jackson,71,#15,New Orleans Pelicans,G,5/4/1998,6-3 / 1.91,205 lbs. / 93 kg.,1618520,USA,2017,2,31,Duke,NBA2k20,N/A,N/A,N/A
Frank Kaminsky,76,#8,Phoenix Suns,F-C,4/4/1993,7-0 / 2.13,231 lbs. / 104.8 kg.,4767000,USA,2015,1,9,Wisconsin,NBA2k20,112.5,29,N/A
Frank Mason,71,#15,Milwaukee Bucks,G,4/13/1994,5-11 / 1.80,190 lbs. / 86.2 kg.,79568,USA,2017,2,34,Kansas,NBA2k20,N/A,N/A,N/A
Frank Ntilikina,73,#11,New York Knicks,G,7/28/1998,6-4 / 1.93,190 lbs. / 86.2 kg.,4855800,France,2017,1,8,N/A,NBA2k20,N/A,N/A,N/A
Fred VanVleet,79,#23,Toronto Raptors,G,2/25/1994,6-1 / 1.85,197 lbs. / 89.4 kg.,9346153,USA,2006,Undrafted,Undrafted,Wichita State,NBA2k20,0,17.5,N/A
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,6/27/1997,6-7 / 2.01,185 lbs. / 83.9 kg.,1620564,Turkey,2016,1,26,N/A,NBA2k20,N/A,N/A,N/A
Garrett Temple,73,#17,Brooklyn Nets,G-F,5/8/1986,6-5 / 1.96,195 lbs. / 88.5 kg.,4767000,USA,2009,Undrafted,Undrafted,LSU,NBA2k20,2,1,N/A
Gary Clark,69,#0,Orlando Magic,F,11/16/1994,6-6 / 1.98,225 lbs. / 102.1 kg.,1427191,USA,2018,Undrafted,Undrafted,Cincinnati,NBA2k20,N/A,N/A,N/A
Gary Harris,79,#14,Denver Nuggets,G,9/14/1994,6-4 / 1.93,205 lbs. / 93 kg.,17839286,USA,2014,1,19,Michigan State,NBA2k20,6,2.5,N/A
Gary Trent Jr,71,#2,Portland Trail Blazers,G,1/18/1999,6-5 / 1.96,209 lbs. / 94.8 kg.,1416852,USA,2018,2,37,Duke,NBA2k20,N/A,N/A,N/A
George Hill,75,#3,Milwaukee Bucks,G,5/4/1986,6-3 / 1.91,180 lbs. / 81.6 kg.,10133907,USA,2008,1,26,IUPUI,NBA2k20,33.5,3,0.244
Georges Niang,72,#31,Utah Jazz,F,6/17/1993,6-7 / 2.01,230 lbs. / 104.3 kg.,1645357,USA,2016,2,50,Iowa State,NBA2k20,N/A,N/A,N/A
Gerald Green,76,#0,Free agent,F-G,1/26/1986,6-6 / 1.98,192 lbs. / 87.1 kg.,2564753,USA,2005,1,18,N/A,NBA2k20,N/A,N/A,N/A
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,25842697,Greece,2013,1,15,N/A,NBA2k20,N/A,N/A,0.246
Giannis Antetokounmpo,97,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,27528088,Greece,2013,1,15,N/A,NBA2k21,N/A,N/A,0.246
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,39344900,Greece,2013,1,15,N/A,NBA2k22,N/A,N/A,0.246
Glenn Robinson III,74,#22,Golden State Warriors,F,1/8/1994,6-6 / 1.98,211 lbs. / 95.7 kg.,1882867,USA,2014,2,40,Michigan,NBA2k20,N/A,N/A,N/A
Goga Bitadze,72,#88,Indiana Pacers,C,7/20/1999,6-11 / 2.11,250 lbs. / 113.4 kg.,2816760,Georgia,2019,1,18,N/A,NBA2k20,N/A,N/A,N/A
Goran Dragic,79,#7,Miami Heat,G,5/6/1986,6-3 / 1.91,190 lbs. / 86.2 kg.,19217900,Slovenia,2008,2,45,N/A,NBA2k20,62.5,45,0.226
Gordon Hayward,80,#20,Boston Celtics,F,3/23/1990,6-7 / 2.01,207 lbs. / 93.9 kg.,32700690,USA,2010,1,9,Butler,NBA2k20,319,50.5,0.252
Gorgui Dieng,76,#0,Memphis Grizzlies,C,1/18/1990,6-10 / 2.08,230 lbs. / 104.3 kg.,16229213,Senegal,2013,1,21,Louisville,NBA2k20,N/A,N/A,N/A
Grant Williams,72,#12,Boston Celtics,F,11/30/1998,6-6 / 1.98,236 lbs. / 107 kg.,2379840,USA,2019,1,22,Tennessee,NBA2k20,N/A,N/A,N/A
Grayson Allen,72,#3,Memphis Grizzlies,G,10/8/1995,6-4 / 1.93,205 lbs. / 93 kg.,2429400,USA,2018,1,21,Duke,NBA2k20,N/A,N/A,N/A
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,7/31/1998,6-5 / 1.96,198 lbs. / 89.8 kg.,1416852,USA,2018,2,45,Kentucky,NBA2k20,N/A,N/A,N/A
Harrison Barnes,79,#40,Sacramento Kings,F,5/30/1992,6-8 / 2.03,210 lbs. / 95.3 kg.,24147727,USA,2012,1,7,North Carolina,NBA2k20,88.5,28.5,0.597
Harry Giles,74,#20,Sacramento Kings,F-C,4/22/1998,6-11 / 2.11,232 lbs. / 105.2 kg.,2578800,USA,2017,1,20,Duke,NBA2k20,N/A,N/A,N/A
Hassan Whiteside,81,#21,Portland Trail Blazers,C,6/13/1989,7-0 / 2.13,235 lbs. / 106.6 kg.,27093018,USA,2010,2,33,Marshall,NBA2k20,194,155,0.164
Henry Ellenson,69,#0,Free agent,F-C,1/13/1997,6-10 / 2.08,242 lbs. / 109.8 kg.,79568,USA,2016,1,18,Marquette,NBA2k20,6.5,5,N/A
Ian Mahinmi,73,#28,Washington Wizards,C,11/5/1986,6-11 / 2.11,230 lbs. / 104.3 kg.,15450051,France,2005,1,28,N/A,NBA2k20,10,5,N/A
Ignas Brazdeikis,70,#17,New York Knicks,F,1/8/1999,6-6 / 1.98,216 lbs. / 98 kg.,898310,Canada,2019,2,47,Michigan,NBA2k20,N/A,N/A,N/A
Isaac Bonga,68,#17,Washington Wizards,G,11/8/1999,6-8 / 2.03,200 lbs. / 90.7 kg.,1416852,Germany,2018,2,39,N/A,NBA2k20,N/A,N/A,N/A
Isaiah Hartenstein,68,#0,Free agent,F-C,5/5/1998,7-0 / 2.13,250 lbs. / 113.4 kg.,1416852,Germany,2017,2,43,N/A,NBA2k20,N/A,N/A,N/A
Isaiah Thomas,76,#0,Free agent,G,2/7/1989,5-9 / 1.75,185 lbs. / 83.9 kg.,2320044,USA,2011,2,60,Washington,NBA2k20,467.5,155.5,0.639
Ishmael Smith,73,#14,Washington Wizards,G,7/5/1988,6-0 / 1.83,175 lbs. / 79.4 kg.,6000000,USA,2010,Undrafted,Undrafted,Wake Forest,NBA2k20,N/A,N/A,N/A
Ivan Rabb,74,#0,Free agent,F-C,2/4/1997,6-10 / 2.08,220 lbs. / 99.8 kg.,451326,USA,2017,2,35,California,NBA2k20,N/A,N/A,N/A
Ivica Zubac,77,#40,Los Angeles Clippers,C,3/18/1997,7-0 / 2.13,265 lbs. / 120.2 kg.,6481482,Croatia,2016,2,32,N/A,NBA2k20,5,43,N/A
Ja Morant,79,#12,Memphis Grizzlies,G,8/10/1999,6-3 / 1.91,174 lbs. / 78.9 kg.,8730240,USA,2019,1,2,Murray State,NBA2k20,N/A,N/A,N/A
Jabari Parker,78,#0,Sacramento Kings,F,3/15/1995,6-8 / 2.03,235 lbs. / 106.6 kg.,6500000,USA,2014,1,2,Duke,NBA2k20,267,125,0.281
Jacob Evans,71,#0,Minnesota Timberwolves,G,6/18/1997,6-4 / 1.93,210 lbs. / 95.3 kg.,1925880,USA,2018,1,28,Cincinnati,NBA2k20,N/A,N/A,N/A
Jae Crowder,76,#99,Miami Heat,F,7/6/1990,6-6 / 1.98,235 lbs. / 106.6 kg.,7815533,USA,2012,2,34,Marquette,NBA2k20,55,47,N/A
Jahlil Okafor,76,#8,New Orleans Pelicans,C,12/15/1995,6-10 / 2.08,270 lbs. / 122.5 kg.,1702486,USA,2015,1,3,Duke,NBA2k20,N/A,N/A,N/A
JaKarr Sampson,71,#14,Indiana Pacers,F,3/20/1993,6-7 / 2.01,223 lbs. / 101.2 kg.,1737145,USA,2014,Undrafted,Undrafted,St. John's,NBA2k20,N/A,N/A,N/A
Jake Layman,75,#10,Minnesota Timberwolves,F,3/7/1994,6-8 / 2.03,209 lbs. / 94.8 kg.,3581986,USA,2016,2,47,Maryland,NBA2k20,N/A,N/A,N/A
Jakob Poeltl,77,#25,San Antonio Spurs,C-F,10/15/1995,7-1 / 2.16,239 lbs. / 108.4 kg.,3754885,Austria,2016,1,9,Utah,NBA2k20,N/A,N/A,N/A
Jalen Brunson,76,#13,Dallas Mavericks,G,8/31/1996,6-1 / 1.85,190 lbs. / 86.2 kg.,1416852,USA,2018,2,33,Villanova,NBA2k20,N/A,N/A,N/A
Jalen Lecque,68,#0,Phoenix Suns,G,6/13/2000,6-3 / 1.91,190 lbs. / 86.2 kg.,898310,USA,2019,Undrafted,Undrafted,N/A,NBA2k20,N/A,N/A,N/A
Jamal Murray,84,#27,Denver Nuggets,G,2/23/1997,6-4 / 1.93,201 lbs. / 91.2 kg.,4444746,Canada,2016,1,7,Kentucky,NBA2k20,0,62.5,N/A
James Ennis,73,#0,Orlando Magic,F,7/1/1990,6-6 / 1.98,201 lbs. / 91.2 kg.,1882867,USA,2013,2,50,Long Beach State,NBA2k20,N/A,N/A,N/A
James Harden,96,#13,Houston Rockets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,38199000,USA,2009,1,3,Arizona State,NBA2k20,969,321.5,4.47
James Harden,96,#13,Brooklyn Nets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,41254920,USA,2009,1,3,Arizona State,NBA2k21,969,321.5,4.47
James Harden,94,#13,Brooklyn Nets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,44310840,USA,2009,1,3,Arizona State,NBA2k22,969,321.5,4.47
James Johnson,75,#0,Minnesota Timberwolves,F,2/20/1987,6-7 / 2.01,245 lbs. / 111.1 kg.,15349400,USA,2009,1,16,Wake Forest,NBA2k20,13,7,0
JaMychal Green,78,#4,Los Angeles Clippers,F,6/21/1990,6-8 / 2.03,220 lbs. / 99.8 kg.,4767000,USA,2012,Undrafted,Undrafted,Alabama,NBA2k20,N/A,N/A,N/A
Jared Dudley,72,#10,Los Angeles Lakers,F,7/10/1985,6-6 / 1.98,225 lbs. / 102.1 kg.,2564753,USA,2007,1,22,Boston College,NBA2k20,31,4,N/A
Jaren Jackson,82,#13,Memphis Grizzlies,F-C,9/15/1999,6-11 / 2.11,242 lbs. / 110 kg.,6699960,USA,2018,1,4,Michigan State,NBA2k20,N/A,N/A,N/A
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,4/3/1999,6-9 / 2.06,214 lbs. / 97.1 kg.,1416852,USA,2018,2,41,Kentucky,NBA2k20,N/A,N/A,N/A
Jarrett Allen,79,#31,Brooklyn Nets,C,4/20/1998,6-11 / 2.11,234 lbs. / 106.1 kg.,2376840,USA,2017,1,22,Texas,NBA2k20,N/A,N/A,N/A
Jarrett Culver,77,#23,Minnesota Timberwolves,G,2/20/1999,6-6 / 1.98,195 lbs. / 88.5 kg.,5813640,USA,2019,1,6,Texas Tech,NBA2k20,N/A,N/A,N/A
JaVale McGee,79,#7,Los Angeles Lakers,C,1/19/1988,7-0 / 2.13,270 lbs. / 122.5 kg.,4000000,USA,2008,1,18,Nevada,NBA2k20,0,32,0.193
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,5/23/2000,6-11 / 2.11,220 lbs. / 99.8 kg.,4862040,USA,2019,1,8,Texas,NBA2k20,N/A,N/A,N/A
Jaylen Brown,79,#7,Boston Celtics,F,10/24/1996,6-6 / 1.98,223 lbs. / 101.2 kg.,6534829,USA,2016,1,3,California,NBA2k20,0,100,N/A
Jayson Tatum,85,#0,Boston Celtics,F,3/3/1998,6-8 / 2.03,204 lbs. / 92.5 kg.,7830000,USA,2017,1,3,Duke,NBA2k20,N/A,N/A,N/A
Jeff Green,76,#34,Houston Rockets,F,8/28/1986,6-8 / 2.03,235 lbs. / 106.6 kg.,3405180,USA,2007,1,5,Georgetown,NBA2k20,57.5,28.5,N/A
Jeff Teague,78,#0,Atlanta Hawks,G,6/10/1988,6-3 / 1.91,181 lbs. / 82.1 kg.,19000000,USA,2009,1,19,Wake Forest,NBA2k20,17.5,13.5,0.083
Jemerrio Jones,70,#0,Free agent,F,4/9/1995,6-5 / 1.96,201 lbs. / 91.2 kg.,195077,USA,2018,Undrafted,Undrafted,New Mexico State,NBA2k20,N/A,N/A,N/A
Jerami Grant,77,#9,Denver Nuggets,F,3/12/1994,6-8 / 2.03,214 lbs. / 97.1 kg.,9346153,USA,2014,2,39,Syracuse,NBA2k20,9,3,N/A
Jeremy Lamb,79,#26,Indiana Pacers,G,5/30/1992,6-5 / 1.96,180 lbs. / 81.6 kg.,10500000,USA,2012,1,12,UConn,NBA2k20,N/A,N/A,0.055
Jerome Robinson,71,#1,Washington Wizards,G,2/22/1997,6-4 / 1.93,190 lbs. / 86.2 kg.,3567720,USA,2018,1,13,Boston College,NBA2k20,N/A,N/A,N/A
Jevon Carter,71,#4,Phoenix Suns,G,9/14/1995,6-1 / 1.85,200 lbs. / 90.7 kg.,1416852,USA,2018,2,32,West Virginia,NBA2k20,N/A,N/A,N/A
Jimmy Butler,88,#22,Miami Heat,G,9/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,32742000,USA,2011,1,30,Marquette,NBA2k20,89.5,30,0.469
Jimmy Butler,89,#22,Miami Heat,G,9/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,34379100,USA,2011,1,30,Marquette,NBA2k21,89.5,30,0.469
JJ Redick,80,#4,New Orleans Pelicans,G,6/24/1984,6-3 / 1.91,190 lbs. / 86.2 kg.,13486300,USA,2006,1,11,Duke,NBA2k20,N/A,N/A,N/A
Joakim Noah,74,#0,Los Angeles Clippers,C,2/25/1985,6-11 / 2.11,227 lbs. / 103 kg.,6813026,USA,2007,1,9,Florida,NBA2k20,0,87,N/A
Joe Harris,78,#12,Brooklyn Nets,G,9/6/1991,6-6 / 1.98,215 lbs. / 97.5 kg.,7666667,USA,2014,2,33,Virginia,NBA2k20,0,0,N/A
Joe Ingles,79,#2,Utah Jazz,F,10/2/1987,6-7 / 2.01,209 lbs. / 94.8 kg.,11454546,Australia,2009,Undrafted,Undrafted,N/A,NBA2k20,86.5,4,N/A
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,27504630,Cameroon,2014,1,3,Kansas,NBA2k20,6852.5,2941,0.793
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,29542010,Cameroon,2014,1,3,Kansas,NBA2k21,6852.5,2941,0.793
Joel Embiid,95,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,31579390,Cameroon,2014,1,3,Kansas,NBA2k22,6852.5,2941,0.793
John Collins,84,#20,Atlanta Hawks,F,9/23/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,2686560,USA,2017,1,19,Wake Forest,NBA2k20,N/A,N/A,N/A
John Henson,75,#31,Detroit Pistons,F,12/28/1990,6-9 / 2.06,220 lbs. / 99.8 kg.,9732396,USA,2012,1,14,North Carolina,NBA2k20,N/A,N/A,N/A
John Wall,86,#2,Washington Wizards,G,9/6/1990,6-4 / 1.93,195 lbs. / 88.5 kg.,38199000,USA,2010,1,1,Kentucky,NBA2k20,0,77,1.81
Johnathan Motley,70,#15,Los Angeles Clippers,F,5/4/1995,6-8 / 2.03,230 lbs. / 104.3 kg.,79568,USA,2017,Undrafted,Undrafted,Baylor,NBA2k20,N/A,N/A,N/A
Jonah Bolden,73,#0,Phoenix Suns,F,1/2/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,1788296,Australia,2017,2,36,UCLA,NBA2k20,N/A,N/A,N/A
Jonas Valanciunas,81,#17,Memphis Grizzlies,C,5/6/1992,6-11 / 2.11,231 lbs. / 104.8 kg.,16000000,Lithuania,2011,1,5,N/A,NBA2k20,65,40,0.162
Jonathan Isaac,76,#1,Orlando Magic,F,10/3/1997,6-11 / 2.11,205 lbs. / 93 kg.,5806440,USA,2017,1,6,Florida State,NBA2k20,N/A,N/A,N/A
Jonathon Simmons,73,#0,Free agent,G-F,9/14/1989,6-6 / 1.98,195 lbs. / 88.5 kg.,1000000,USA,2012,Undrafted,Undrafted,Houston,NBA2k20,58,40,N/A
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,1/7/1995,6-8 / 2.03,224 lbs. / 101.6 kg.,1870564,USA,2017,2,38,Oregon,NBA2k20,N/A,N/A,N/A
Jordan Clarkson,78,#8,Utah Jazz,G,6/7/1992,6-4 / 1.93,186 lbs. / 84.4 kg.,13437500,Philippines,2014,2,46,Missouri,NBA2k20,55.5,179.5,N/A
Jordan McRae,68,#0,Detroit Pistons,G,3/28/1991,6-5 / 1.96,179 lbs. / 81.2 kg.,1254933,USA,2014,2,58,Tennessee,NBA2k20,25.5,7.5,N/A
Jordan Poole,70,#3,Golden State Warriors,G,6/19/1999,6-4 / 1.93,194 lbs. / 88 kg.,1964760,USA,2019,1,28,Michigan,NBA2k20,N/A,N/A,N/A
Jose Juan Barea,76,#5,Dallas Mavericks,G,6/26/1984,5-10 / 1.78,175 lbs. / 79.4 kg.,2564753,Puerto Rico,2006,Undrafted,Undrafted,Northeastern,NBA2k20,N/A,N/A,N/A
Josh Hart,75,#3,New Orleans Pelicans,G,3/6/1995,6-5 / 1.96,204 lbs. / 92.5 kg.,1934160,USA,2017,1,30,Villanova,NBA2k20,N/A,N/A,N/A
Josh Jackson,76,#20,Memphis Grizzlies,F,2/10/1997,6-8 / 2.03,203 lbs. / 92.1 kg.,7059480,USA,2017,1,4,Kansas,NBA2k20,N/A,N/A,N/A
Josh Okogie,73,#20,Minnesota Timberwolves,G,9/1/1998,6-4 / 1.93,213 lbs. / 96.6 kg.,2530680,Nigeria,2018,1,20,Georgia Tech,NBA2k20,N/A,N/A,N/A
Josh Richardson,80,#0,Philadelphia 76ers,G,9/15/1993,6-5 / 1.96,200 lbs. / 90.7 kg.,10116576,USA,2015,2,40,Tennessee,NBA2k20,42,10,N/A
Jrue Holiday,86,#11,New Orleans Pelicans,G,6/12/1990,6-3 / 1.91,180 lbs. / 81.6 kg.,26131111,USA,2009,1,17,UCLA,NBA2k20,0,39,0.129
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,9/28/1995,6-9 / 2.06,220 lbs. / 99.8 kg.,3321029,Spain,2016,1,15,N/A,NBA2k20,21,18,N/A
Julius Randle,83,#30,New York Knicks,F,11/29/1994,6-8 / 2.03,250 lbs. / 113.4 kg.,18000000,USA,2014,1,7,Kentucky,NBA2k20,102,59,0.358
Justin Holiday,72,#8,Indiana Pacers,G,4/5/1989,6-6 / 1.98,180 lbs. / 81.6 kg.,4767000,USA,2011,Undrafted,Undrafted,Washington,NBA2k20,N/A,N/A,N/A
Justin Jackson,74,#44,Dallas Mavericks,F-G,3/28/1995,6-7 / 2.01,201 lbs. / 91.2 kg.,3280920,USA,2017,1,15,North Carolina,NBA2k20,N/A,N/A,N/A
Justin James,70,#10,Sacramento Kings,G,1/24/1997,6-7 / 2.01,190 lbs. / 86.2 kg.,898310,USA,2019,2,40,Wyoming,NBA2k20,N/A,N/A,N/A
Justise Winslow,78,#0,Memphis Grizzlies,F,3/26/1996,6-6 / 1.98,222 lbs. / 100.7 kg.,13000000,USA,2015,1,10,Duke,NBA2k20,88.5,33.5,N/A
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,8/23/1994,7-0 / 2.13,290 lbs. / 131.5 kg.,12000000,Bosnia and Herzegovina,2014,1,16,N/A,NBA2k20,45,43.5,0.031
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,27285000,USA,2015,1,1,Kentucky,NBA2k20,0,105,0.281
Karl-Anthony Towns,90,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,29467800,USA,2015,1,1,Kentucky,NBA2k21,0,105,0.281
Kawhi Leonard,97,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,32742000,USA,2011,1,15,San Diego State,NBA2k20,2701.5,716.5,0.166
Kawhi Leonard,96,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,34379100,USA,2011,1,15,San Diego State,NBA2k21,2701.5,716.5,0.166
Kawhi Leonard,95,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,39344900,USA,2011,1,15,San Diego State,NBA2k22,2701.5,716.5,0.166
Keita Bates-Diop,70,#0,Denver Nuggets,F,1/23/1996,6-8 / 2.03,235 lbs. / 106.6 kg.,1416852,USA,2018,2,48,Ohio State,NBA2k20,N/A,N/A,N/A
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/1999,6-5 / 1.96,211 lbs. / 95.7 kg.,1950600,USA,2019,1,29,Kentucky,NBA2k20,N/A,N/A,N/A
Kelly Olynyk,78,#9,Miami Heat,C,4/19/1991,6-11 / 2.11,234 lbs. / 106.1 kg.,12667885,Canada,2013,1,13,Gonzaga,NBA2k20,56.5,16,N/A
Kelly Oubre,78,#3,Phoenix Suns,F-G,12/9/1995,6-7 / 2.01,203 lbs. / 92.1 kg.,15625000,USA,2015,1,15,Kansas,NBA2k20,64.5,114.5,N/A
Kemba Walker,88,#8,Boston Celtics,G,5/8/1990,6-0 / 1.83,172 lbs. / 78 kg.,32742000,USA,2011,1,9,UConn,NBA2k20,59.5,32.5,0.336
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/2/1994,6-6 / 1.98,210 lbs. / 95.3 kg.,1416852,USA,2018,Undrafted,Undrafted,TCU,NBA2k20,N/A,N/A,N/A
Kent Bazemore,75,#26,Sacramento Kings,G,7/1/1989,6-4 / 1.93,195 lbs. / 88.5 kg.,19269663,USA,2012,Undrafted,Undrafted,Old Dominion,NBA2k20,N/A,N/A,N/A
Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,2/18/1993,6-5 / 1.96,204 lbs. / 92.5 kg.,8089282,USA,2013,1,8,Georgia,NBA2k20,9,10,N/A
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,37199000,USA,2007,1,2,Texas,NBA2k20,1425.5,366,16.2
Kevin Durant,95,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,42018900,USA,2007,1,2,Texas,NBA2k21,1425.5,366,16.2
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,40918900,USA,2007,1,2,Texas,NBA2k22,1425.5,366,16.2
Kevin Huerter,76,#3,Atlanta Hawks,G,8/27/1998,6-7 / 2.01,190 lbs. / 86.2 kg.,2636280,USA,2018,1,19,Maryland,NBA2k20,N/A,N/A,N/A
Kevin Knox,76,#20,New York Knicks,F,8/11/1999,6-7 / 2.01,215 lbs. / 97.5 kg.,4380120,USA,2018,1,9,Kentucky,NBA2k20,N/A,N/A,N/A
Kevin Love,83,#0,Cleveland Cavaliers,F,9/7/1988,6-8 / 2.03,260 lbs. / 117.9 kg.,28942830,USA,2008,1,5,UCLA,NBA2k20,866.5,194.5,2.55
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,5/4/2000,6-4 / 1.93,218 lbs. / 98.9 kg.,1290960,USA,2019,1,30,USC,NBA2k20,N/A,N/A,N/A
Kevon Looney,77,#5,Golden State Warriors,F,2/6/1996,6-9 / 2.06,222 lbs. / 100.7 kg.,4464286,USA,2015,1,30,UCLA,NBA2k20,0,18.5,N/A
Khem Birch,74,#24,Orlando Magic,C,9/28/1992,6-9 / 2.06,209 lbs. / 94.8 kg.,3000000,Canada,2014,Undrafted,Undrafted,UNLV,NBA2k20,N/A,N/A,N/A
Khris Middleton,85,#22,Milwaukee Bucks,F,8/12/1991,6-7 / 2.01,217 lbs. / 98.4 kg.,30603448,USA,2012,2,39,Texas A&M,NBA2k20,16,9,N/A
Khyri Thomas,69,#13,Detroit Pistons,G,5/8/1996,6-3 / 1.91,210 lbs. / 95.3 kg.,1416852,USA,2018,2,38,Creighton,NBA2k20,N/A,N/A,N/A
Klay Thompson,89,#11,Golden State Warriors,G,2/8/1990,6-6 / 1.98,205 lbs. / 93 kg.,32742000,USA,2011,1,11,Washington State,NBA2k20,797,225,N/A
Klay Thompson,89,#11,Golden State Warriors,G,2/8/1990,6-6 / 1.98,205 lbs. / 93 kg.,35361360,USA,2011,1,11,Washington State,NBA2k21,797,225,N/A
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/1997,6-10 / 2.08,200 lbs. / 90.7 kg.,79568,Greece,2018,Undrafted,Undrafted,Dayton,NBA2k20,N/A,N/A,N/A
Kris Dunn,75,#32,Chicago Bulls,G,3/18/1994,6-3 / 1.91,205 lbs. / 93 kg.,5348007,USA,2016,1,5,Providence,NBA2k20,165,47,N/A
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,27285000,Latvia,2015,1,4,N/A,NBA2k20,485,214,N/A
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,29467800,Latvia,2015,1,4,N/A,NBA2k21,485,214,N/A
Kyle Anderson,74,#1,Memphis Grizzlies,F,9/20/1993,6-9 / 2.06,230 lbs. / 104.3 kg.,9073050,USA,2014,1,30,UCLA,NBA2k20,22,11.5,N/A
Kyle Korver,75,#26,Milwaukee Bucks,F,3/17/1981,6-7 / 2.01,212 lbs. / 96.2 kg.,6004753,USA,2003,2,51,Creighton,NBA2k20,107.5,30.5,N/A
Kyle Kuzma,84,#0,Los Angeles Lakers,F,7/24/1995,6-8 / 2.03,221 lbs. / 100.2 kg.,1974600,USA,2017,1,27,Utah,NBA2k20,N/A,N/A,N/A
Kyle Lowry,85,#7,Toronto Raptors,G,3/25/1986,6-0 / 1.83,205 lbs. / 93 kg.,33296296,USA,2006,1,24,Villanova,NBA2k20,561,162,0.589
Kyle Lowry,87,#7,Toronto Raptors,G,3/25/1986,6-0 / 1.83,205 lbs. / 93 kg.,30500000,USA,2006,1,24,Villanova,NBA2k21,561,162,0.589
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,3/26/1990,6-9 / 2.06,240 lbs. / 108.9 kg.,2174318,USA,2012,2,49,Norfolk State,NBA2k20,0,7,0.024
Kyrie Irving,91,#11,Brooklyn Nets,G,3/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,31742000,Australia,2011,1,1,Duke,NBA2k20,1541,695,3.48
Kyrie Irving,90,#11,Brooklyn Nets,G,3/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,33722850,Australia,2011,1,1,Duke,NBA2k21,1541,695,3.48
