full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS
Bismack Biyombo,75,#8,Charlotte Hornets,C,8/28/1992,6-8 / 2.03,229 lbs. / 103.9 kg.,17000000,Democratic Republic of the Congo,2011,1,7,N/A,NBA2k20,N/A,N/A,N/A
Blake Griffin,88,#23,Detroit Pistons,F,3/16/1989,6-9 / 2.06,252 lbs. / 114.3 kg.,34449964,USA,2009,1,1,Oklahoma,NBA2k20,269,98.5,4.19
Boban Marjanovic,75,#51,Dallas Mavericks,C,8/15/1988,7-4 / 2.24,290 lbs. / 131.5 kg.,3500000,Serbia,2010,Undrafted,Undrafted,N/A,NBA2k20,N/A,N/A,0
Bobby Portis,78,#1,New York Knicks,F-C,2/10/1995,6-10 / 2.08,246 lbs. / 111.6 kg.,15000000,USA,2015,1,22,Arkansas,NBA2k20,37,73,N/A
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,8/18/1992,6-6 / 1.98,205 lbs. / 93 kg.,8529386,Serbia,2014,1,27,N/A,NBA2k20,N/A,N/A,N/A
Bojan Bogdanovic,83,#44,Utah Jazz,G-F,4/18/1989,6-8 / 2.03,216 lbs. / 98 kg.,17000000,Croatia,2011,2,31,N/A,NBA2k20,N/A,N/A,N/A
Brad Wanamaker,73,#9,Boston Celtics,G,7/25/1989,6-3 / 1.91,210 lbs. / 95.3 kg.,1445697,USA,2011,Undrafted,Undrafted,Pittsburgh,NBA2k20,N/A,N/A,N/A
Bradley Beal,87,#3,Washington Wizards,G,6/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,27093018,USA,2012,1,3,Florida,NBA2k20,55.5,40.5,0.276
Bradley Beal,88,#3,Washington Wizards,G,6/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,28751774,USA,2012,1,3,Florida,NBA2k21,55.5,40.5,0.276
Brandon Clarke,73,#15,Memphis Grizzlies,F,9/19/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,2478840,Canada,2019,1,21,Gonzaga,NBA2k20,N/A,N/A,N/A
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/1995,6-0 / 1.83,180 lbs. / 81.6 kg.,522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast,NBA2k20,N/A,N/A,N/A
Brandon Ingram,81,#14,New Orleans Pelicans,F,9/2/1997,6-7 / 2.01,196 lbs. / 88.9 kg.,7265485,USA,2016,1,2,Duke,NBA2k20,194,100,N/A
Brandon Knight,72,#0,Detroit Pistons,G,12/2/1991,6-2 / 1.88,189 lbs. / 85.7 kg.,15643750,USA,2011,1,8,Kentucky,NBA2k20,N/A,N/A,N/A
Brook Lopez,79,#11,Milwaukee Bucks,C,4/1/1988,7-0 / 2.13,265 lbs. / 120.2 kg.,12093024,USA,2008,1,10,Stanford,NBA2k20,N/A,N/A,0
Bruce Brown,73,#6,Detroit Pistons,G,8/15/1996,6-4 / 1.93,190 lbs. / 86.2 kg.,1416852,USA,2018,2,42,Miami (Florida),NBA2k20,N/A,N/A,N/A
Bruno Fernando,71,#24,Atlanta Hawks,F,8/15/1998,6-9 / 2.06,245 lbs. / 111.1 kg.,1400000,Angola,2019,2,34,Maryland,NBA2k20,N/A,N/A,N/A
Bryn Forbes,75,#11,San Antonio Spurs,G,7/23/1993,6-2 / 1.88,187 lbs. / 84.8 kg.,2875000,USA,2016,Undrafted,Undrafted,Michigan State,NBA2k20,N/A,N/A,N/A
Buddy Hield,84,#24,Sacramento Kings,G,12/17/1993,6-4 / 1.93,212 lbs. / 96.2 kg.,4861207,The Bahamas,2016,1,6,Oklahoma,NBA2k20,512,333,N/A
Caleb Swanigan,70,#50,Portland Trail Blazers,C,4/18/1997,6-9 / 2.06,249 lbs. / 112.9 kg.,2033160,USA,2017,1,26,Purdue,NBA2k20,N/A,N/A,N/A
Cam Reynolds,69,#13,Milwaukee Bucks,G,2/7/1995,6-7 / 2.01,225 lbs. / 102.1 kg.,79568,USA,2018,Undrafted,Undrafted,Tulane,NBA2k20,N/A,N/A,N/A
Cameron Johnson,72,#23,Phoenix Suns,F,3/3/1996,6-8 / 2.03,210 lbs. / 95.3 kg.,4033440,USA,2019,1,11,North Carolina,NBA2k20,N/A,N/A,N/A
Cameron Payne,72,#0,Phoenix Suns,G,8/8/1994,6-2 / 1.88,180 lbs. / 81.6 kg.,346288,USA,2015,1,14,Murray State,NBA2k20,38.5,21,N/A
Caris LeVert,78,#22,Brooklyn Nets,G,8/25/1994,6-6 / 1.98,191 lbs. / 86.6 kg.,2625717,USA,2016,1,20,Michigan,NBA2k20,0,28,N/A
Carsen Edwards,71,#4,Boston Celtics,G,3/12/1998,5-11 / 1.80,200 lbs. / 90.7 kg.,1228026,USA,2019,2,33,Purdue,NBA2k20,N/A,N/A,N/A
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,4/8/1995,6-7 / 2.01,215 lbs. / 97.5 kg.,2907143,Turkey,2015,2,31,N/A,NBA2k20,N/A,N/A,N/A
Chandler Hutchison,72,#15,Chicago Bulls,F,4/26/1996,6-7 / 2.01,196 lbs. / 88.9 kg.,2332320,USA,2018,1,22,Boise State,NBA2k20,N/A,N/A,N/A
Chandler Parsons,74,#0,Free agent,F,10/25/1988,6-9 / 2.06,200 lbs. / 90.7 kg.,25102512,USA,2011,2,38,Florida,NBA2k20,59,16,N/A
Cheick Diallo,74,#14,Phoenix Suns,F-C,9/13/1996,6-8 / 2.03,219 lbs. / 99.3 kg.,1678854,Mali,2016,2,33,Kansas,NBA2k20,N/A,N/A,0.015
Chimezie Metu,71,#7,San Antonio Spurs,F,3/22/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,1416852,Nigeria,2018,2,49,USC,NBA2k20,N/A,N/A,N/A
Chris Boucher,71,#25,Toronto Raptors,F-C,1/11/1993,6-9 / 2.06,200 lbs. / 90.7 kg.,1588231,Canada,2017,Undrafted,Undrafted,Oregon,NBA2k20,N/A,N/A,N/A
Chris Paul,85,#3,Oklahoma City Thunder,G,5/6/1985,6-1 / 1.85,175 lbs. / 79.4 kg.,38506482,USA,2005,1,4,Wake Forest,NBA2k20,829,178.5,6.4
