rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
76,2.13,111.1,2012,1,11,149.0,31.0,2.850071428571429,11.0,31.0,24.48808657894157,6,1,0,0,0,0,0,0,1,0
73,2.06,107.0,2013,0,0,583.257281553398,198.99757281553397,2.850071428571429,10.0,32.0,25.21444056932793,3,0,0,1,0,0,0,0,0,1
72,2.03,104.0,2019,1,16,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,25.237205464825653,1,0,0,0,1,0,0,0,1,0
75,1.85,83.9,2009,2,55,583.257281553398,198.99757281553397,2.850071428571429,14.0,35.0,24.514243973703433,3,0,0,0,0,0,1,0,0,1
69,1.96,95.3,2019,2,58,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,24.80737192836318,6,0,0,1,0,0,0,0,1,0
83,2.08,102.1,2008,1,6,29.0,6.0,0.711,15.0,35.0,23.599297337278102,6,0,0,1,0,0,0,0,0,1
75,2.06,109.3,2015,1,12,48.0,12.0,2.850071428571429,8.0,28.0,25.756433217079838,3,0,0,1,0,0,0,0,0,1
87,2.11,111.6,2006,1,2,195.0,63.0,0.669,17.0,38.0,25.066822398418726,3,0,0,0,1,0,0,0,1,0
75,1.96,88.9,2017,1,12,583.257281553398,198.99757281553397,2.850071428571429,6.0,27.0,23.141399416909625,2,0,0,0,0,0,1,0,1,0
76,2.03,95.3,2004,2,43,10.0,15.0,2.850071428571429,19.0,38.0,23.12601616151812,6,0,0,0,0,1,0,0,1,0
74,1.91,84.4,2014,0,0,3.0,6.0,2.850071428571429,9.0,31.0,23.135330720100878,6,0,0,0,0,0,1,0,1,0
79,1.96,102.1,2006,2,35,583.257281553398,198.99757281553397,2.850071428571429,17.0,38.0,26.57746772178259,6,0,0,1,0,0,0,0,1,0
74,1.98,95.7,2014,2,40,583.257281553398,198.99757281553397,2.850071428571429,9.0,29.0,24.410774410774412,6,0,0,1,0,0,0,0,1,0
94,1.96,99.8,2009,1,3,969.0,321.5,4.47,14.0,34.0,25.978758850478968,6,0,0,0,0,0,1,0,1,0
77,1.98,88.5,2019,1,6,583.257281553398,198.99757281553397,2.850071428571429,4.0,24.0,22.574227119681666,6,0,0,0,0,0,1,0,1,0
70,2.01,86.2,2019,2,40,583.257281553398,198.99757281553397,2.850071428571429,4.0,26.0,21.336105541942036,3,0,0,0,0,0,1,0,1,0
73,1.96,99.8,2019,1,25,583.257281553398,198.99757281553397,2.850071428571429,4.0,23.0,25.978758850478968,6,0,0,1,0,0,0,0,1,0
75,1.98,94.8,2018,1,10,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,24.181205999387817,1,0,0,0,0,1,0,0,1,0
74,1.91,88.5,2017,1,1,583.257281553398,198.99757281553397,2.850071428571429,6.0,25.0,24.259203420958855,4,0,0,0,0,0,1,0,1,0
74,1.98,88.5,2016,0,0,0.0,74.0,2.850071428571429,7.0,26.0,22.574227119681666,6,0,0,1,0,0,0,0,1,0
