full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
Rodions Kurucs,75,#0,Brooklyn Nets,F,2/5/1998,6-9 / 2.06,215 lbs. / 97.5 kg.,"$1,699,236 ",Latvia,2018,2,40,,NBA2k20
Jake Layman,75,#10,Minnesota Timberwolves,F,3/7/1994,6-8 / 2.03,209 lbs. / 94.8 kg.,"$3,581,986 ",USA,2016,2,47,Maryland,NBA2k20
Robin Lopez,75,#42,Milwaukee Bucks,C,4/1/1988,7-0 / 2.13,255 lbs. / 115.7 kg.,"$4,767,000 ",USA,2008,1,15,Stanford,NBA2k20
Trey Lyles,75,#41,San Antonio Spurs,F,11/5/1995,6-9 / 2.06,241 lbs. / 109.3 kg.,"$5,500,000 ",Canada,2015,1,12,Kentucky,NBA2k20
Boban Marjanovic,75,#51,Dallas Mavericks,C,8/15/1988,7-4 / 2.24,290 lbs. / 131.5 kg.,"$3,500,000 ",Serbia,2010,Undrafted,Undrafted,,NBA2k20
TJ McConnell,75,#9,Indiana Pacers,G,3/25/1992,6-1 / 1.85,200 lbs. / 90.7 kg.,"$3,500,000 ",USA,2015,Undrafted,Undrafted,Arizona,NBA2k20
Patrick Mills,75,#8,San Antonio Spurs,G,8/11/1988,6-1 / 1.85,185 lbs. / 83.9 kg.,"$12,678,571 ",Australia,2009,2,55,Saint Mary's,NBA2k20
Malik Monk,75,#1,Charlotte Hornets,G,2/4/1998,6-3 / 1.91,197 lbs. / 89.4 kg.,"$4,028,400 ",USA,2017,1,11,Kentucky,NBA2k20
Markieff Morris,75,#88,Los Angeles Lakers,F,9/2/1989,6-8 / 2.03,245 lbs. / 111.1 kg.,"$3,709,887 ",USA,2011,1,13,Kansas,NBA2k20
Shabazz Napier,75,#0,Washington Wizards,G,7/14/1991,6-0 / 1.83,175 lbs. / 79.4 kg.,"$1,845,301 ",USA,2014,1,24,UConn,NBA2k20
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,4/8/1995,6-7 / 2.01,215 lbs. / 97.5 kg.,"$2,907,143 ",Turkey,2015,2,31,,NBA2k20
Tomas Satoransky,75,#31,Chicago Bulls,G,10/30/1991,6-7 / 2.01,198 lbs. / 89.8 kg.,"$10,000,000 ",Czech,2012,2,32,,NBA2k20
Mike Scott,75,#1,Philadelphia 76ers,F,7/16/1988,6-7 / 2.01,237 lbs. / 107.5 kg.,"$4,767,000 ",USA,2012,2,43,Virginia,NBA2k20
Noah Vonleh,75,#0,Denver Nuggets,F,8/24/1995,6-10 / 2.08,247 lbs. / 112 kg.,"$2,000,000 ",USA,2014,1,9,Indiana,NBA2k20
Allonzo Trier,75,#0,,G-F,1/17/1996,6-4 / 1.93,200 lbs. / 90.7 kg.,"$3,551,100 ",USA,2018,Undrafted,Undrafted,Arizona,NBA2k20
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,9/28/1995,6-9 / 2.06,220 lbs. / 99.8 kg.,"$3,321,029 ",Spain,2016,1,15,,NBA2k20
Kyle Anderson,74,#1,Memphis Grizzlies,F,9/20/1993,6-9 / 2.06,230 lbs. / 104.3 kg.,"$9,073,050 ",USA,2014,1,30,UCLA,NBA2k20
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,1/7/1995,6-8 / 2.03,224 lbs. / 101.6 kg.,"$1,870,564 ",USA,2017,2,38,Oregon,NBA2k20
Khem Birch,74,#24,Orlando Magic,C,9/28/1992,6-9 / 2.06,209 lbs. / 94.8 kg.,"$3,000,000 ",Canada,2014,Undrafted,Undrafted,UNLV,NBA2k20
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,1/22/1996,6-7 / 2.01,225 lbs. / 102.1 kg.,"$1,618,520 ",Canada,2017,2,45,Oregon,NBA2k20
Reggie Bullock,74,#25,New York Knicks,G,3/16/1991,6-6 / 1.98,200 lbs. / 90.7 kg.,"$4,000,000 ",USA,2013,1,25,North Carolina,NBA2k20
Zach Collins,74,#33,Portland Trail Blazers,C,11/17/1997,6-11 / 2.11,232 lbs. / 105.2 kg.,"$4,240,200 ",USA,2017,1,10,Gonzaga,NBA2k20
Pat Connaughton,74,#24,Milwaukee Bucks,G,1/6/1993,6-5 / 1.96,215 lbs. / 97.5 kg.,"$1,723,050 ",USA,2015,2,41,Notre Dame,NBA2k20
Quinn Cook,74,#2,Los Angeles Lakers,G,3/23/1993,6-1 / 1.85,180 lbs. / 81.6 kg.,"$3,000,000 ",USA,2015,Undrafted,Undrafted,Duke,NBA2k20
Torrey Craig,74,#3,Denver Nuggets,G,12/19/1990,6-7 / 2.01,215 lbs. / 97.5 kg.,"$2,000,000 ",USA,2014,Undrafted,Undrafted,USC Upstate,NBA2k20
Seth Curry,74,#30,Dallas Mavericks,G,8/23/1990,6-2 / 1.88,180 lbs. / 81.6 kg.,"$7,461,380 ",USA,2013,Undrafted,Undrafted,Duke,NBA2k20
Cheick Diallo,74,#14,Phoenix Suns,F-C,9/13/1996,6-8 / 2.03,219 lbs. / 99.3 kg.,"$1,678,854 ",Mali,2016,2,33,Kansas,NBA2k20
Yogi Ferrell,74,#3,Sacramento Kings,G,5/9/1993,6-0 / 1.83,178 lbs. / 80.7 kg.,"$3,150,000 ",USA,2016,Undrafted,Undrafted,Indiana,NBA2k20
Markelle Fultz,74,#20,Orlando Magic,G,5/29/1998,6-3 / 1.91,195 lbs. / 88.5 kg.,"$9,745,200 ",USA,2017,1,1,Washington,NBA2k20
Harry Giles,74,#20,Sacramento Kings,F-C,4/22/1998,6-11 / 2.11,232 lbs. / 105.2 kg.,"$2,578,800 ",USA,2017,1,20,Duke,NBA2k20
Moe Harkless,74,#0,New York Knicks,F,5/11/1993,6-7 / 2.01,208 lbs. / 94.3 kg.,"$11,011,234 ",USA,2012,1,15,St. John's,NBA2k20
Justin Jackson,74,#44,Dallas Mavericks,F-G,3/28/1995,6-7 / 2.01,201 lbs. / 91.2 kg.,"$3,280,920 ",USA,2017,1,15,North Carolina,NBA2k20
Tyler Johnson,74,#0,Brooklyn Nets,G,5/7/1992,6-3 / 1.91,186 lbs. / 84.4 kg.,"$19,428,485 ",USA,2014,Undrafted,Undrafted,Fresno State,NBA2k20
Derrick Jones,74,#5,Miami Heat,F,2/15/1997,6-6 / 1.98,195 lbs. / 88.5 kg.,"$1,645,357 ",USA,2016,Undrafted,Undrafted,UNLV,NBA2k20
Cory Joseph,74,#9,Sacramento Kings,G,8/20/1991,6-3 / 1.91,185 lbs. / 83.9 kg.,"$12,000,000 ",Canada,2011,1,29,Texas,NBA2k20
Maxi Kleber,74,#42,Dallas Mavericks,F-C,1/29/1992,6-10 / 2.08,211 lbs. / 95.7 kg.,"$8,000,000 ",Germany,2014,Undrafted,Undrafted,,NBA2k20
TJ Leaf,74,#22,Indiana Pacers,F-C,4/30/1997,6-10 / 2.08,222 lbs. / 100.7 kg.,"$2,813,280 ",Israel,2017,1,18,UCLA,NBA2k20
Doug McDermott,74,#20,Indiana Pacers,F,1/3/1992,6-7 / 2.01,218 lbs. / 98.9 kg.,"$7,333,333 ",USA,2014,1,11,Creighton,NBA2k20
